date,sales,date,Year,Month,Year_month,Weekday,Day,ret_1,ret_2,ret_7,dcoilwtico
2013-02-19,33221.58801,2013-02-19,2013,2,2013-02,Tuesday,19,40106.986099999995,33589.108993,27451.41299,96.69
2013-02-20,35245.013011999996,2013-02-20,2013,2,2013-02,Wednesday,20,33221.58801,40106.986099999995,35326.885005,94.92
2013-02-21,29145.1779905,2013-02-21,2013,2,2013-02,Thursday,21,35245.013011999996,33221.58801,31515.818987,92.79
2013-02-22,31797.623,2013-02-22,2013,2,2013-02,Friday,22,29145.1779905,35245.013011999996,35060.227001,93.12
2013-02-23,41082.26001699999,2013-02-23,2013,2,2013-02,Saturday,23,31797.623,29145.1779905,47083.676030999995,92.74
2013-02-24,38199.067004,2013-02-24,2013,2,2013-02,Sunday,24,41082.26001699999,31797.623,33589.108993,92.74
2013-02-25,33630.117981999996,2013-02-25,2013,2,2013-02,Monday,25,38199.067004,41082.26001699999,40106.986099999995,92.74
2013-02-26,33518.0871005,2013-02-26,2013,2,2013-02,Tuesday,26,33630.117981999996,38199.067004,33221.58801,92.63
2013-02-27,35362.65799,2013-02-27,2013,2,2013-02,Wednesday,27,33518.0871005,33630.117981999996,35245.013011999996,92.84
2013-02-28,28612.423976,2013-02-28,2013,2,2013-02,Thursday,28,35362.65799,33518.0871005,29145.1779905,92.03
2013-03-01,38483.264041,2013-03-01,2013,3,2013-03,Friday,1,28612.423976,35362.65799,31797.623,90.71
2013-03-02,48075.54801,2013-03-02,2013,3,2013-03,Saturday,2,38483.264041,28612.423976,41082.26001699999,90.13
2013-03-03,46056.31302,2013-03-03,2013,3,2013-03,Sunday,3,48075.54801,38483.264041,38199.067004,90.13
2013-03-04,42001.216965,2013-03-04,2013,3,2013-03,Monday,4,46056.31302,48075.54801,33630.117981999996,90.13
2013-03-05,34995.961021999996,2013-03-05,2013,3,2013-03,Tuesday,5,42001.216965,46056.31302,33518.0871005,90.88
2013-03-06,39118.442026000004,2013-03-06,2013,3,2013-03,Wednesday,6,34995.961021999996,42001.216965,35362.65799,90.47
2013-03-07,30540.959020000002,2013-03-07,2013,3,2013-03,Thursday,7,39118.442026000004,34995.961021999996,28612.423976,91.53
2013-03-08,32630.443010000003,2013-03-08,2013,3,2013-03,Friday,8,30540.959020000002,39118.442026000004,38483.264041,92.01
2013-03-09,41958.24498,2013-03-09,2013,3,2013-03,Saturday,9,32630.443010000003,30540.959020000002,48075.54801,92.07
2013-03-10,38422.212982000005,2013-03-10,2013,3,2013-03,Sunday,10,41958.24498,32630.443010000003,46056.31302,92.07
2013-03-11,33887.68099,2013-03-11,2013,3,2013-03,Monday,11,38422.212982000005,41958.24498,42001.216965,92.07
2013-03-12,26821.003021,2013-03-12,2013,3,2013-03,Tuesday,12,33887.68099,38422.212982000005,34995.961021999996,92.44
2013-03-13,34900.222991,2013-03-13,2013,3,2013-03,Wednesday,13,26821.003021,33887.68099,39118.442026000004,92.47
2013-03-14,26610.829996,2013-03-14,2013,3,2013-03,Thursday,14,34900.222991,26821.003021,30540.959020000002,93.03
2013-03-15,34538.623981,2013-03-15,2013,3,2013-03,Friday,15,26610.829996,34900.222991,32630.443010000003,93.49
2013-03-16,42460.241004,2013-03-16,2013,3,2013-03,Saturday,16,34538.623981,26610.829996,41958.24498,93.71
2013-03-17,41295.659999999996,2013-03-17,2013,3,2013-03,Sunday,17,42460.241004,34538.623981,38422.212982000005,93.71
2013-03-18,35704.559,2013-03-18,2013,3,2013-03,Monday,18,41295.659999999996,42460.241004,33887.68099,93.71
2013-03-19,33027.175996,2013-03-19,2013,3,2013-03,Tuesday,19,35704.559,41295.659999999996,26821.003021,92.44
2013-03-20,36066.157979999996,2013-03-20,2013,3,2013-03,Wednesday,20,33027.175996,35704.559,34900.222991,93.21
2013-03-21,29229.834025,2013-03-21,2013,3,2013-03,Thursday,21,36066.157979999996,33027.175996,26610.829996,92.46
2013-03-22,34002.783976,2013-03-22,2013,3,2013-03,Friday,22,29229.834025,36066.157979999996,34538.623981,93.41
2013-03-23,39376.171959,2013-03-23,2013,3,2013-03,Saturday,23,34002.783976,29229.834025,42460.241004,94.55
2013-03-24,38361.889001,2013-03-24,2013,3,2013-03,Sunday,24,39376.171959,34002.783976,41295.659999999996,94.55
2013-03-25,35810.077008,2013-03-25,2013,3,2013-03,Monday,25,38361.889001,39376.171959,35704.559,94.55
2013-03-26,31569.526004500003,2013-03-26,2013,3,2013-03,Tuesday,26,35810.077008,38361.889001,33027.175996,95.99
2013-03-27,36660.285,2013-03-27,2013,3,2013-03,Wednesday,27,31569.526004500003,35810.077008,36066.157979999996,96.53
2013-03-28,37715.105,2013-03-28,2013,3,2013-03,Thursday,28,36660.285,31569.526004500003,29229.834025,97.24
2013-03-29,30326.458986,2013-03-29,2013,3,2013-03,Friday,29,37715.105,36660.285,34002.783976,97.1
2013-03-30,37656.67301,2013-03-30,2013,3,2013-03,Saturday,30,30326.458986,37715.105,39376.171959,97.1
2013-03-31,36693.540021,2013-03-31,2013,3,2013-03,Sunday,31,37656.67301,30326.458986,38361.889001,97.1
2013-04-01,46561.417000999994,2013-04-01,2013,4,2013-04,Monday,1,36693.540021,37656.67301,35810.077008,97.1
2013-04-02,38927.631991,2013-04-02,2013,4,2013-04,Tuesday,2,46561.417000999994,36693.540021,31569.526004500003,97.23
2013-04-03,42274.085932,2013-04-03,2013,4,2013-04,Wednesday,3,38927.631991,46561.417000999994,36660.285,95.02
2013-04-04,31653.151995,2013-04-04,2013,4,2013-04,Thursday,4,42274.085932,38927.631991,37715.105,93.26
2013-04-05,36519.68102,2013-04-05,2013,4,2013-04,Friday,5,31653.151995,42274.085932,30326.458986,92.76
2013-04-06,46097.043000000005,2013-04-06,2013,4,2013-04,Saturday,6,36519.68102,31653.151995,37656.67301,93.36
2013-04-07,43789.135982,2013-04-07,2013,4,2013-04,Sunday,7,46097.043000000005,36519.68102,36693.540021,93.36
2013-04-08,37404.96899,2013-04-08,2013,4,2013-04,Monday,8,43789.135982,46097.043000000005,46561.417000999994,93.36
2013-04-09,35069.881012,2013-04-09,2013,4,2013-04,Tuesday,9,37404.96899,43789.135982,38927.631991,94.18
2013-04-10,36485.139989,2013-04-10,2013,4,2013-04,Wednesday,10,35069.881012,37404.96899,42274.085932,94.59
2013-04-11,32160.530995999998,2013-04-11,2013,4,2013-04,Thursday,11,36485.139989,35069.881012,31653.151995,93.44
2013-04-12,33714.34897,2013-04-12,2013,4,2013-04,Friday,12,32160.530995999998,36485.139989,36519.68102,91.23
2013-04-13,42524.846040000004,2013-04-13,2013,4,2013-04,Saturday,13,33714.34897,32160.530995999998,46097.043000000005,88.75
2013-04-14,36945.40602,2013-04-14,2013,4,2013-04,Sunday,14,42524.846040000004,33714.34897,43789.135982,88.75
2013-04-15,34837.828,2013-04-15,2013,4,2013-04,Monday,15,36945.40602,42524.846040000004,37404.96899,88.75
2013-04-16,35357.444,2013-04-16,2013,4,2013-04,Tuesday,16,34837.828,36945.40602,35069.881012,88.73
2013-04-17,36931.87991,2013-04-17,2013,4,2013-04,Wednesday,17,35357.444,34837.828,36485.139989,86.65
2013-04-18,29768.971995,2013-04-18,2013,4,2013-04,Thursday,18,36931.87991,35357.444,32160.530995999998,87.83
2013-04-19,34613.61,2013-04-19,2013,4,2013-04,Friday,19,29768.971995,36931.87991,33714.34897,88.04
2013-04-20,44250.99299,2013-04-20,2013,4,2013-04,Saturday,20,34613.61,29768.971995,42524.846040000004,88.81
2013-04-21,40678.409999999996,2013-04-21,2013,4,2013-04,Sunday,21,44250.99299,34613.61,36945.40602,88.81
2013-04-22,36437.306,2013-04-22,2013,4,2013-04,Monday,22,40678.409999999996,44250.99299,34837.828,88.81
2013-04-23,32276.9899895,2013-04-23,2013,4,2013-04,Tuesday,23,36437.306,40678.409999999996,35357.444,89.21
2013-04-24,36458.891002,2013-04-24,2013,4,2013-04,Wednesday,24,32276.9899895,36437.306,36931.87991,91.07
2013-04-25,29323.190994000004,2013-04-25,2013,4,2013-04,Thursday,25,36458.891002,32276.9899895,29768.971995,93.27
2013-04-26,35113.412018,2013-04-26,2013,4,2013-04,Friday,26,29323.190994000004,36458.891002,34613.61,92.63
2013-04-27,41079.54298,2013-04-27,2013,4,2013-04,Saturday,27,35113.412018,29323.190994000004,44250.99299,94.09
2013-04-28,41090.911981,2013-04-28,2013,4,2013-04,Sunday,28,41079.54298,35113.412018,40678.409999999996,94.09
2013-04-29,36227.091007999996,2013-04-29,2013,4,2013-04,Monday,29,41090.911981,41079.54298,36437.306,94.09
2013-04-30,36108.376998,2013-04-30,2013,4,2013-04,Tuesday,30,36227.091007999996,41090.911981,32276.9899895,93.22
2013-05-01,48630.570980000004,2013-05-01,2013,5,2013-05,Wednesday,1,36108.376998,36227.091007999996,36458.891002,90.74
2013-05-02,39083.599030000005,2013-05-02,2013,5,2013-05,Thursday,2,48630.570980000004,36108.376998,29323.190994000004,93.7
2013-05-03,39657.73004,2013-05-03,2013,5,2013-05,Friday,3,39083.599030000005,48630.570980000004,35113.412018,95.25
2013-05-04,49033.640982,2013-05-04,2013,5,2013-05,Saturday,4,39657.73004,39083.599030000005,41079.54298,95.8
2013-05-05,50720.714101,2013-05-05,2013,5,2013-05,Sunday,5,49033.640982,39657.73004,41090.911981,95.8
2013-05-06,41163.99803,2013-05-06,2013,5,2013-05,Monday,6,50720.714101,49033.640982,36227.091007999996,95.8
2013-05-07,34686.815042,2013-05-07,2013,5,2013-05,Tuesday,7,41163.99803,50720.714101,36108.376998,95.28
2013-05-08,37101.882997,2013-05-08,2013,5,2013-05,Wednesday,8,34686.815042,41163.99803,48630.570980000004,96.24
2013-05-09,31252.21299,2013-05-09,2013,5,2013-05,Thursday,9,37101.882997,34686.815042,39083.599030000005,96.09
2013-05-10,37575.33699,2013-05-10,2013,5,2013-05,Friday,10,31252.21299,37101.882997,39657.73004,95.81
2013-05-11,52575.85999900001,2013-05-11,2013,5,2013-05,Saturday,11,37575.33699,31252.21299,49033.640982,94.76
2013-05-12,36403.598004,2013-05-12,2013,5,2013-05,Sunday,12,52575.85999900001,37575.33699,50720.714101,94.76
2013-05-13,36391.085,2013-05-13,2013,5,2013-05,Monday,13,36403.598004,52575.85999900001,41163.99803,94.76
2013-05-14,35202.536001,2013-05-14,2013,5,2013-05,Tuesday,14,36391.085,36403.598004,34686.815042,93.96
2013-05-15,37911.482009,2013-05-15,2013,5,2013-05,Wednesday,15,35202.536001,36391.085,37101.882997,93.95
2013-05-16,33601.60291,2013-05-16,2013,5,2013-05,Thursday,16,37911.482009,35202.536001,31252.21299,94.85
2013-05-17,35740.322997999996,2013-05-17,2013,5,2013-05,Friday,17,33601.60291,37911.482009,37575.33699,95.72
2013-05-18,47820.08404,2013-05-18,2013,5,2013-05,Saturday,18,35740.322997999996,33601.60291,52575.85999900001,96.29
2013-05-19,46169.042004,2013-05-19,2013,5,2013-05,Sunday,19,47820.08404,35740.322997999996,36403.598004,96.29
2013-05-20,35851.167021,2013-05-20,2013,5,2013-05,Monday,20,46169.042004,47820.08404,36391.085,96.29
2013-05-21,34260.302998,2013-05-21,2013,5,2013-05,Tuesday,21,35851.167021,46169.042004,35202.536001,95.55
2013-05-22,35545.9759875,2013-05-22,2013,5,2013-05,Wednesday,22,34260.302998,35851.167021,37911.482009,93.98
2013-05-23,32762.33096,2013-05-23,2013,5,2013-05,Thursday,23,35545.9759875,34260.302998,33601.60291,94.12
2013-05-24,39034.49899,2013-05-24,2013,5,2013-05,Friday,24,32762.33096,35545.9759875,35740.322997999996,93.84
2013-05-25,40042.87999,2013-05-25,2013,5,2013-05,Saturday,25,39034.49899,32762.33096,47820.08404,94.65
2013-05-26,38522.713038,2013-05-26,2013,5,2013-05,Sunday,26,40042.87999,39034.49899,46169.042004,94.65
2013-05-27,35601.46597,2013-05-27,2013,5,2013-05,Monday,27,38522.713038,40042.87999,35851.167021,94.65
2013-05-28,36822.6680115,2013-05-28,2013,5,2013-05,Tuesday,28,35601.46597,38522.713038,34260.302998,94.65
2013-05-29,37321.06798,2013-05-29,2013,5,2013-05,Wednesday,29,36822.6680115,35601.46597,35545.9759875,93.13
2013-05-30,32862.378004,2013-05-30,2013,5,2013-05,Thursday,30,37321.06798,36822.6680115,32762.33096,93.57
2013-05-31,35514.81699,2013-05-31,2013,5,2013-05,Friday,31,32862.378004,37321.06798,39034.49899,91.93
2013-06-01,56700.052979,2013-06-01,2013,6,2013-06,Saturday,1,35514.81699,32862.378004,40042.87999,93.41
2013-06-02,54108.222002,2013-06-02,2013,6,2013-06,Sunday,2,56700.052979,35514.81699,38522.713038,93.41
2013-06-03,43316.37899,2013-06-03,2013,6,2013-06,Monday,3,54108.222002,56700.052979,35601.46597,93.41
2013-06-04,37569.924,2013-06-04,2013,6,2013-06,Tuesday,4,43316.37899,54108.222002,36822.6680115,93.36
2013-06-05,39393.821016,2013-06-05,2013,6,2013-06,Wednesday,5,37569.924,43316.37899,37321.06798,93.66
2013-06-06,33263.79199,2013-06-06,2013,6,2013-06,Thursday,6,39393.821016,37569.924,32862.378004,94.71
2013-06-07,39730.248988,2013-06-07,2013,6,2013-06,Friday,7,33263.79199,39393.821016,35514.81699,96.11
2013-06-08,45062.766982,2013-06-08,2013,6,2013-06,Saturday,8,39730.248988,33263.79199,56700.052979,95.82
2013-06-09,46096.813044,2013-06-09,2013,6,2013-06,Sunday,9,45062.766982,39730.248988,54108.222002,95.82
2013-06-10,37784.686005,2013-06-10,2013,6,2013-06,Monday,10,46096.813044,45062.766982,43316.37899,95.82
2013-06-11,33038.562011999995,2013-06-11,2013,6,2013-06,Tuesday,11,37784.686005,46096.813044,37569.924,95.5
2013-06-12,38187.5569967,2013-06-12,2013,6,2013-06,Wednesday,12,33038.562011999995,37784.686005,39393.821016,95.98
2013-06-13,30448.7840212,2013-06-13,2013,6,2013-06,Thursday,13,38187.5569967,33038.562011999995,33263.79199,96.66
2013-06-14,34320.086994,2013-06-14,2013,6,2013-06,Friday,14,30448.7840212,38187.5569967,39730.248988,97.83
2013-06-15,52001.0719981,2013-06-15,2013,6,2013-06,Saturday,15,34320.086994,30448.7840212,45062.766982,97.86
2013-06-16,38477.30099799999,2013-06-16,2013,6,2013-06,Sunday,16,52001.0719981,34320.086994,46096.813044,97.86
2013-06-17,38761.046,2013-06-17,2013,6,2013-06,Monday,17,38477.30099799999,52001.0719981,37784.686005,97.86
2013-06-18,34327.6730095,2013-06-18,2013,6,2013-06,Tuesday,18,38761.046,38477.30099799999,33038.562011999995,98.46
2013-06-19,38678.849968999995,2013-06-19,2013,6,2013-06,Wednesday,19,34327.6730095,38761.046,38187.5569967,98.24
2013-06-20,31155.343017,2013-06-20,2013,6,2013-06,Thursday,20,38678.849968999995,34327.6730095,30448.7840212,94.89
2013-06-21,34657.156998,2013-06-21,2013,6,2013-06,Friday,21,31155.343017,38678.849968999995,34320.086994,93.81
2013-06-22,44473.235975,2013-06-22,2013,6,2013-06,Saturday,22,34657.156998,31155.343017,52001.0719981,95.07
2013-06-23,43923.777021,2013-06-23,2013,6,2013-06,Sunday,23,44473.235975,34657.156998,38477.30099799999,95.07
2013-06-24,36993.699000299996,2013-06-24,2013,6,2013-06,Monday,24,43923.777021,44473.235975,38761.046,95.07
2013-06-25,35048.892007,2013-06-25,2013,6,2013-06,Tuesday,25,36993.699000299996,43923.777021,34327.6730095,95.25
2013-06-26,36381.70001,2013-06-26,2013,6,2013-06,Wednesday,26,35048.892007,36993.699000299996,38678.849968999995,95.47
2013-06-27,28743.340000000004,2013-06-27,2013,6,2013-06,Thursday,27,36381.70001,35048.892007,31155.343017,97.0
2013-06-28,35003.503000000004,2013-06-28,2013,6,2013-06,Friday,28,28743.340000000004,36381.70001,34657.156998,96.36
2013-06-29,48924.68599,2013-06-29,2013,6,2013-06,Saturday,29,35003.503000000004,28743.340000000004,44473.235975,97.94
2013-06-30,45173.304972,2013-06-30,2013,6,2013-06,Sunday,30,48924.68599,35003.503000000004,43923.777021,97.94
2013-07-01,44152.581060000004,2013-07-01,2013,7,2013-07,Monday,1,45173.304972,48924.68599,36993.699000299996,97.94
2013-07-02,38165.30503,2013-07-02,2013,7,2013-07,Tuesday,2,44152.581060000004,45173.304972,35048.892007,99.65
2013-07-03,39338.90496,2013-07-03,2013,7,2013-07,Wednesday,3,38165.30503,44152.581060000004,36381.70001,101.92
2013-07-04,35455.449989999994,2013-07-04,2013,7,2013-07,Thursday,4,39338.90496,38165.30503,28743.340000000004,103.09
2013-07-05,38059.754004999995,2013-07-05,2013,7,2013-07,Friday,5,35455.449989999994,39338.90496,35003.503000000004,103.09
2013-07-06,46691.905,2013-07-06,2013,7,2013-07,Saturday,6,38059.754004999995,35455.449989999994,48924.68599,103.03
2013-07-07,44456.53,2013-07-07,2013,7,2013-07,Sunday,7,46691.905,38059.754004999995,45173.304972,103.03
2013-07-08,39310.760998000005,2013-07-08,2013,7,2013-07,Monday,8,44456.53,46691.905,44152.581060000004,103.03
2013-07-09,35241.666980300004,2013-07-09,2013,7,2013-07,Tuesday,9,39310.760998000005,44456.53,38165.30503,103.46
2013-07-10,36954.6631,2013-07-10,2013,7,2013-07,Wednesday,10,35241.666980300004,39310.760998000005,39338.90496,106.41
2013-07-11,29695.976011,2013-07-11,2013,7,2013-07,Thursday,11,36954.6631,35241.666980300004,35455.449989999994,104.77
2013-07-12,34823.788984,2013-07-12,2013,7,2013-07,Friday,12,29695.976011,36954.6631,38059.754004999995,105.85
2013-07-13,44621.543201,2013-07-13,2013,7,2013-07,Saturday,13,34823.788984,29695.976011,46691.905,106.2
2013-07-14,39945.443019,2013-07-14,2013,7,2013-07,Sunday,14,44621.543201,34823.788984,44456.53,106.2
2013-07-15,36991.635999599996,2013-07-15,2013,7,2013-07,Monday,15,39945.443019,44621.543201,39310.760998000005,106.2
2013-07-16,35181.257979999995,2013-07-16,2013,7,2013-07,Tuesday,16,36991.635999599996,39945.443019,35241.666980300004,105.88
2013-07-17,36115.352001499996,2013-07-17,2013,7,2013-07,Wednesday,17,35181.257979999995,36991.635999599996,36954.6631,106.39
2013-07-18,32662.221000700003,2013-07-18,2013,7,2013-07,Thursday,18,36115.352001499996,35181.257979999995,29695.976011,107.94
2013-07-19,34494.384000000005,2013-07-19,2013,7,2013-07,Friday,19,32662.221000700003,36115.352001499996,34823.788984,108.0
2013-07-20,41961.632996,2013-07-20,2013,7,2013-07,Saturday,20,34494.384000000005,32662.221000700003,44621.543201,106.61
2013-07-21,39942.717002000005,2013-07-21,2013,7,2013-07,Sunday,21,41961.632996,34494.384000000005,39945.443019,106.61
2013-07-22,35874.474051,2013-07-22,2013,7,2013-07,Monday,22,39942.717002000005,41961.632996,36991.635999599996,106.61
2013-07-23,32489.129989999998,2013-07-23,2013,7,2013-07,Tuesday,23,35874.474051,39942.717002000005,35181.257979999995,107.13
2013-07-24,37079.641979,2013-07-24,2013,7,2013-07,Wednesday,24,32489.129989999998,35874.474051,36115.352001499996,105.41
2013-07-25,33980.755005,2013-07-25,2013,7,2013-07,Thursday,25,37079.641979,32489.129989999998,32662.221000700003,105.47
2013-07-26,34929.154955000005,2013-07-26,2013,7,2013-07,Friday,26,33980.755005,37079.641979,34494.384000000005,104.76
2013-07-27,41174.176029,2013-07-27,2013,7,2013-07,Saturday,27,34929.154955000005,33980.755005,41961.632996,104.61
2013-07-28,41183.030004,2013-07-28,2013,7,2013-07,Sunday,28,41174.176029,34929.154955000005,39942.717002000005,104.61
2013-07-29,36376.1740395,2013-07-29,2013,7,2013-07,Monday,29,41183.030004,41174.176029,35874.474051,104.61
2013-07-30,35268.271,2013-07-30,2013,7,2013-07,Tuesday,30,36376.1740395,41183.030004,32489.129989999998,103.14
2013-07-31,38244.69897,2013-07-31,2013,7,2013-07,Wednesday,31,35268.271,36376.1740395,37079.641979,105.1
2013-08-01,37275.721996,2013-08-01,2013,8,2013-08,Thursday,1,38244.69897,35268.271,33980.755005,107.93
2013-08-02,41285.83399,2013-08-02,2013,8,2013-08,Friday,2,37275.721996,38244.69897,34929.154955000005,106.94
2013-08-03,51004.97702400001,2013-08-03,2013,8,2013-08,Saturday,3,41285.83399,37275.721996,41174.176029,106.61
2013-08-04,44464.38198,2013-08-04,2013,8,2013-08,Sunday,4,51004.97702400001,41285.83399,41183.030004,106.61
2013-08-05,40151.80899,2013-08-05,2013,8,2013-08,Monday,5,44464.38198,51004.97702400001,36376.1740395,106.61
2013-08-06,37899.742989,2013-08-06,2013,8,2013-08,Tuesday,6,40151.80899,44464.38198,35268.271,105.32
2013-08-07,36897.327000000005,2013-08-07,2013,8,2013-08,Wednesday,7,37899.742989,40151.80899,38244.69897,104.41
2013-08-08,35150.952008,2013-08-08,2013,8,2013-08,Thursday,8,36897.327000000005,37899.742989,37275.721996,103.45
2013-08-09,35480.574028,2013-08-09,2013,8,2013-08,Friday,9,35150.952008,36897.327000000005,41285.83399,106.04
2013-08-10,41279.45901400001,2013-08-10,2013,8,2013-08,Saturday,10,35480.574028,35150.952008,51004.97702400001,106.19
2013-08-11,41564.851014,2013-08-11,2013,8,2013-08,Sunday,11,41279.45901400001,35480.574028,44464.38198,106.19
2013-08-12,36094.317004,2013-08-12,2013,8,2013-08,Monday,12,41564.851014,41279.45901400001,40151.80899,106.19
2013-08-13,32678.857022999997,2013-08-13,2013,8,2013-08,Tuesday,13,36094.317004,41564.851014,37899.742989,106.78
2013-08-14,33950.8,2013-08-14,2013,8,2013-08,Wednesday,14,32678.857022999997,36094.317004,36897.327000000005,106.89
2013-08-15,31699.727,2013-08-15,2013,8,2013-08,Thursday,15,33950.8,32678.857022999997,35150.952008,107.43
2013-08-16,37885.381008,2013-08-16,2013,8,2013-08,Friday,16,31699.727,33950.8,35480.574028,107.58
2013-08-17,45089.738982,2013-08-17,2013,8,2013-08,Saturday,17,37885.381008,31699.727,41279.45901400001,107.14
